# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887225e-10       7.309026172909e-15       4.815171199970e-13       0.000000000000e+00       8.628903609891e-09       4.854772122259e-10      -2.515854151611e-12 
    3       1.409365943023e-10       1.238791651650e-14       6.068719691963e-13       0.000000000000e+00       5.411291720741e-09       3.469573584027e-10      -2.211507031143e-12 
    4       1.324622774931e-10       1.446512635930e-14       6.277976520579e-13       0.000000000000e+00       3.776588552564e-09       2.639785056959e-10      -1.764116067080e-12 
    5       1.257504767206e-10       1.337853519882e-14       5.879551647001e-13       0.000000000000e+00       2.821984230417e-09       2.093815841281e-10      -1.309529286451e-12 
    6       1.208053913587e-10       1.032310747924e-14       5.173990841437e-13       0.000000000000e+00       2.205212283199e-09       1.709429022051e-10      -8.948468925444e-13 
    7       1.173297571161e-10       6.841600365877e-15       4.365335862034e-13       0.000000000000e+00       1.778233642830e-09       1.425663898162e-10      -5.443860557501e-13 
    8       1.150037075902e-10       4.042374146251e-15       3.576623511392e-13       0.000000000000e+00       1.468351551345e-09       1.208855295166e-10      -2.689334595810e-13 
    9       1.135829009985e-10       2.336357197400e-15       2.880590507273e-13       0.000000000000e+00       1.235838581896e-09       1.038809738784e-10      -7.009986714808e-14 
   10       1.128526892828e-10       1.571653533688e-15       2.317799681288e-13       0.000000000000e+00       1.056623422357e-09       9.029297653933e-11       5.745597591139e-14 
   11       1.126728147799e-10       1.345905907612e-15       1.905574141971e-13       0.000000000000e+00       8.886898866058e-10       7.950622580549e-11       1.233291888800e-13 
   12       1.129346482512e-10       1.288312421120e-15       1.640636561759e-13       0.000000000000e+00       7.765278494214e-10       7.028426767182e-11       1.421600854757e-13 
   13       1.135181528099e-10       1.200674797100e-15       1.505300362997e-13       0.000000000000e+00       6.844563326788e-10       6.274647574146e-11       1.277329344119e-13 
   14       1.143248539634e-10       1.054790798631e-15       1.474046706726e-13       0.000000000000e+00       6.078507022089e-10       5.620932594371e-11       9.279532796840e-14 
   15       1.153611553002e-10       9.105397340092e-16       1.516730192900e-13       0.000000000000e+00       5.433693950180e-10       5.074770567452e-11       4.959311367125e-14 
   16       1.165881732585e-10       8.293959318795e-16       1.602914710081e-13       0.000000000000e+00       4.885455305551e-10       4.611880785772e-11       7.232457044187e-15 
   17       1.179228766648e-10       8.287731533361e-16       1.707806936558e-13       0.000000000000e+00       4.415155574511e-10       4.212235145123e-11      -2.792920719652e-14 
   18       1.193693324596e-10       8.811664361862e-16       1.812740701206e-13       0.000000000000e+00       4.006946007258e-10       3.857273425360e-11      -5.233421673746e-14 
   19       1.209354732120e-10       9.538926646934e-16       1.907919251406e-13       0.000000000000e+00       3.654375303432e-10       3.544037587617e-11      -6.510245742507e-14 
   20       1.225654210907e-10       1.013472815641e-15       1.985909989532e-13       0.000000000000e+00       3.343837603232e-10       3.267209115392e-11      -6.706958872939e-14 
   21       1.242710987692e-10       1.062834165224e-15       2.047508483392e-13       0.000000000000e+00       3.070458377168e-10       3.022365663679e-11      -6.038518099758e-14 
   22       1.260522063537e-10       1.120089788920e-15       2.097242387564e-13       0.000000000000e+00       2.827706821222e-10       2.801369672235e-11      -4.840846306239e-14 
   23       1.278979532739e-10       1.204635700213e-15       2.139590306318e-13       0.000000000000e+00       2.612248133617e-10       2.601113447765e-11      -3.407762181750e-14 
   24       1.297762579686e-10       1.335071215353e-15       2.179755426429e-13       0.000000000000e+00       2.419102419185e-10       2.418236717410e-11      -2.047693837145e-14 
   25       1.317039918208e-10       1.511806345258e-15       2.222685094783e-13       0.000000000000e+00       2.246000751500e-10       2.253677424007e-11      -9.447600222915e-15 
   26       1.336934820875e-10       1.727825393006e-15       2.272832347684e-13       0.000000000000e+00       2.089813615648e-10       2.107676172974e-11      -2.331878389364e-15 
   27       1.357258783415e-10       1.976711990891e-15       2.330399219113e-13       0.000000000000e+00       1.948668548028e-10       1.976942536216e-11       6.620874564411e-16 
   28       1.377655509528e-10       2.252057272008e-15       2.393544110680e-13       0.000000000000e+00       1.820132713767e-10       1.856394834548e-11      -9.525865544985e-17 
   29       1.398222354180e-10       2.553377841818e-15       2.459228014081e-13       0.000000000000e+00       1.703550513410e-10       1.745584709285e-11      -3.801164583776e-15 
   30       1.419101731589e-10       2.881917843391e-15       2.523094511674e-13       0.000000000000e+00       1.597671042278e-10       1.644630524374e-11      -9.226625361426e-15 
   31       1.440332199684e-10       3.238301828677e-15       2.580005828372e-13       0.000000000000e+00       1.500335693899e-10       1.552718131609e-11      -1.492866705065e-14 
   32       1.461942651585e-10       3.620417545813e-15       2.626239878142e-13       0.000000000000e+00       1.411042583374e-10       1.468921657387e-11      -2.002927037076e-14 
   33       1.483866109446e-10       4.024639252008e-15       2.658009009078e-13       0.000000000000e+00       1.329161010340e-10       1.391497860391e-11      -2.370100759885e-14 
