# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442760272e-10       7.309265059077e-15       4.815171148062e-13       2.388861355584e-19       8.628903609891e-09       4.854772122259e-10      -2.515854151611e-12 
    3       1.409375667268e-10       1.238839452130e-14       6.068719461075e-13       4.780044765627e-19       5.411291720741e-09       3.469573584027e-10      -2.211507031143e-12 
    4       1.324638933999e-10       1.446592354284e-14       6.277975858837e-13       7.971819628364e-19       3.776588552564e-09       2.639785056959e-10      -1.764116067080e-12 
    5       1.257528917094e-10       1.337973190996e-14       5.879550144250e-13       1.196705759307e-18       2.821984230417e-09       2.093815841281e-10      -1.309529286451e-12 
    6       1.208087577008e-10       1.032478441011e-14       5.173987897658e-13       1.676916255523e-18       2.205212283199e-09       1.709429022051e-10      -8.948468925444e-13 
    7       1.173342232663e-10       6.843838595460e-15       4.365330660517e-13       2.238195783085e-18       1.778233642830e-09       1.425663898162e-10      -5.443860557501e-13 
    8       1.150094177849e-10       4.045255171748e-15       3.576614997186e-13       2.880956113492e-18       1.468351551345e-09       1.208855295166e-10      -2.689334595810e-13 
    9       1.135899949480e-10       2.339962952360e-15       2.880577371181e-13       3.605625230720e-18       1.235838581896e-09       1.038809738784e-10      -7.009986714808e-14 
   10       1.128613019595e-10       1.576066392427e-15       2.317780349443e-13       4.412633900065e-18       1.056623422357e-09       9.029297653933e-11       5.745597591139e-14 
   11       1.126830763048e-10       1.351208675859e-15       1.905546770829e-13       5.302402560767e-18       8.886898866058e-10       7.950622580549e-11       1.233291888800e-13 
   12       1.129466838742e-10       1.294588313284e-15       1.640599038098e-13       6.275329054496e-18       7.765278494214e-10       7.028426767182e-11       1.421600854757e-13 
   13       1.135320829795e-10       1.208007400963e-15       1.505250308351e-13       7.331777665538e-18       6.844563326788e-10       6.274647574146e-11       1.277329344119e-13 
